 i = 10 plot[i] = 0
 i = 11 plot[i] = 0
 i = 12 plot[i] = 0
 i = 13 plot[i] = 0
 i = 14 plot[i] = 5
 i = 15 plot[i] = 3
 i = 16 plot[i] = 6
 i = 17 plot[i] = 3
 i = 18 plot[i] = 5
 i = 19 plot[i] = 0
 i = 20 plot[i] = 1
 i = 21 plot[i] = 0
 i = 22 plot[i] = 0
 i = 23 plot[i] = 2
 i = 24 plot[i] = 0
 i = 25 plot[i] = 2
 i = 26 plot[i] = 0
 i = 27 plot[i] = 0
 i = 28 plot[i] = 1
 i = 29 plot[i] = 0
 i = 30 plot[i] = 1
 i = 31 plot[i] = 1
 i = 32 plot[i] = 2
 i = 33 plot[i] = 0
 i = 34 plot[i] = 1
 i = 35 plot[i] = 1
 i = 36 plot[i] = 0
 i = 37 plot[i] = 1
 i = 38 plot[i] = 1
 i = 39 plot[i] = 0
 i = 40 plot[i] = 0
 i = 41 plot[i] = 0
 i = 42 plot[i] = 0
 i = 43 plot[i] = 1
 i = 44 plot[i] = 0
 i = 45 plot[i] = 0
 i = 46 plot[i] = 0
 i = 47 plot[i] = 0
 i = 48 plot[i] = 0
 i = 49 plot[i] = 0
 i = 50 plot[i] = 0
